tvMax,PSNR,dx,dy,match,q
0.337,24.948,2, 0, 0.993671,24.611
0.337,25.039,2, 0, 0.988868,24.702
0.34,24.592,2, 0, 0.995362,24.252
0.34,24.937,2, 0, 0.993773,24.597
0.343,24.682,2, 0, 0.995104,24.339
0.343,24.804,2, 0, 0.98539,24.461
0.343,25.202,2, 1, 0.991532,24.859
0.343,25.231,2, 1, 0.993026,24.888
0.354,24.545,2, 0, 0.987606,24.191
0.354,24.841,2, 0, 0.990043,24.487
0.383,25.474,2, 0, 0.976496,25.091
0.383,25.622,2, 0, 0.991404,25.239
0.394,24.267,2, 0, 0.987393,23.873
0.394,24.36,2, 0, 0.98845,23.966
0.394,24.549,2, 0, 0.988502,24.155
0.394,24.633,2, 0, 0.989056,24.239
0.396,25.302,2, 0, 0.99453,24.906
0.396,25.351,2, 0, 0.994563,24.955
0.401,24.828,2, 1, 0.986915,24.427
0.401,25.028,2, 1, 0.991217,24.627
0.409,24.564,2, 0, 0.987433,24.155
0.409,24.622,2, 0, 0.987933,24.213
0.438,24.434,2, 0, 0.987351,23.996
0.438,24.608,2, 0, 0.990025,24.17
0.446,24.075,3, 0, 0.988177,23.629
0.446,24.475,2, 0, 0.990368,24.029
0.515,25.207,2, 0, 0.991022,24.692
0.515,25.392,2, 0, 0.994556,24.877
0.564,24.139,2, 0, 0.988296,23.575
0.564,24.18,2, 0, 0.990829,23.616
0.667,15.62,32, -22, 0.733722,14.953
0.667,15.663,32, -22, 0.745742,14.996
0.667,15.827,32, -23, 0.730145,15.16
0.667,15.846,32, -23, 0.743814,15.179
0.667,15.887,32, -22, 0.750662,15.22
0.667,15.892,32, -22, 0.741092,15.225
0.667,15.935,32, -23, 0.74603,15.268
0.667,16.027,32, -22, 0.759272,15.36
0.667,16.205,20, -11, 0.963366,15.538
0.667,16.223,19, -11, 0.954792,15.556
0.667,16.419,20, -11, 0.953996,15.752
0.667,16.463,20, -11, 0.963678,15.796
0.667,16.515,19, -11, 0.966507,15.848
0.667,16.53,19, -11, 0.954098,15.863
0.667,16.593,19, -11, 0.961654,15.926
0.667,16.787,19, -11, 0.967681,16.12
0.67,24.817,2, 0, 0.993947,24.147
0.67,25.534,2, 0, 0.996531,24.864
0.722,23.605,3, 0, 0.992162,22.883
0.722,24.268,2, 0, 0.994436,23.546
0.746,24.115,3, 0, 0.990869,23.369
0.746,25.023,2, 0, 0.996419,24.277
