FEEDRATE,PSNR,DX,DY,MATCH
4260,29.439201124243016,-1,1,0.977535
4260,29.79119032936859,-1,1,0.978027
4260,30.026925173758766,-1,1,0.987141
4260,30.063242969401593,-1,1,0.970236
4260,30.20475837511503,-1,1,0.992688
4260,30.602095503609497,-1,1,0.986498
4260,30.63255765758352,-1,1,0.97765
4260,30.684407000542425,-1,1,0.992082
4260,30.773036517219037,-1,1,0.980986
4260,30.78567889864552,-1,1,0.978375
4260,30.80703205754018,-1,1,0.990255
4260,30.97376341601762,-1,1,0.972313
4260,31.005944974345887,-1,1,0.989868
4260,32.209581482491224,-1,0,0.970612
4260,32.54165239656733,-1,1,0.990205
4260,32.54632305178176,-1,1,0.991894
4260,34.16146401609288,-1,0,0.985666
4260,34.34282307490809,-1,0,0.982812
4260,34.456163068337425,0,0,0.978986
4320,33.12514584005589,-1,0,0.98301
4320,33.853850801906994,-1,0,0.988635
4320,34.188280693076784,-1,0,0.983008
4320,34.44472058922952,0,1,0.978162
4320,34.99679748151717,-1,0,0.987244
4320,35.90476270371428,-1,0,0.994245
4380,31.023830891964824,-1,1,0.991503
4380,31.300738143678437,-1,1,0.993884
4380,31.719665353255564,-1,1,0.99542
4380,31.72492723559035,-1,1,0.994744
4380,32.76298752698887,-1,1,0.986086
4380,32.84713140015841,-1,1,0.989176
4440,29.037312212220193,-2,1,0.969512
4440,29.119844773598555,-1,1,0.960287
4440,29.846582422802786,-1,1,0.980166
4440,30.570780133998273,-1,1,0.986611
4440,30.76314948018551,-1,1,0.978301
4440,30.868286847957236,-1,1,0.984664
4440,31.018268059992188,-1,0,0.973467
4440,31.05223995995711,-1,0,0.971376
4440,31.118955204102168,-1,1,0.975514
4440,31.3410211526856,-1,1,0.994884
4440,31.69378838325543,-1,1,0.986978
4440,31.95758854150106,-1,1,0.984363
4440,32.061620809662124,-1,0,0.978922
4440,32.411480112840664,-1,0,0.986061
4440,32.425241413510555,-1,1,0.98203
4440,32.8683784649361,-1,0,0.980881
4440,32.98836881390117,-1,0,0.984648
4440,33.10621944583862,-1,0,0.986979
4440,33.13025594986793,-1,0,0.990074
4440,33.22095715381066,-1,0,0.990293
4440,33.4852372081471,-1,0,0.993559
4440,34.12780701633034,-1,0,0.99248
4440,34.49709095698056,-1,0,0.991026
4440,34.87323048191223,-1,0,0.991218
4500,20.007959392037602,18,10,0.94436
4500,20.03015339333372,18,10,0.943088
4500,20.042285631896945,18,10,0.951807
4500,20.083113966741323,17,10,0.960758
4500,20.086027746980832,17,10,0.963372
4500,20.089098986640504,18,10,0.945774
4500,20.10512231764863,17,10,0.948377
4500,20.106230819319745,17,10,0.942177
4500,20.112164745489636,17,10,0.941753
4500,20.112616722831866,17,10,0.937261
4500,20.118483972166608,17,10,0.953043
4500,20.123450556560954,17,11,0.9434
4560,20.075214024347172,17,10,0.953575
4560,20.077027954450656,18,10,0.947883
4560,20.07995098958936,18,10,0.961868
4560,20.08514232535881,18,10,0.953174
4560,20.090324345994667,17,10,0.962871
4560,20.11416122304761,17,10,0.940988
4620,20.08060683198781,18,9,0.957371
4620,20.08908282393479,18,9,0.960587
4620,20.09108427542412,18,9,0.951559
4620,20.092449842668447,18,9,0.953511
4620,20.103076742933098,18,9,0.951767
4620,20.11476080393875,18,9,0.962786
4620,20.116118045370218,18,9,0.953134
4620,20.11869652036801,18,9,0.950136
4620,20.130170184924907,17,9,0.953414
4620,20.14212350720777,17,10,0.957286
4620,20.150915735256692,18,9,0.954099
4620,20.161372233261186,17,10,0.959645
4680,20.092310806303757,18,9,0.949087
4680,20.104793204826322,18,9,0.942819
